question;answer_A;answer_B;answer_C;answer_D;answer_E;id
'In the presence of a febrile roseoliform exanthema in children, the main etiologies are (one or more correct answers):';"""Sudden rash""";'Epidemic megaloerythema';'A rubella';"""Infectious mononucleosis""";'Kawasaki disease';0
Regarding heart failure, which statement(s) is (are) true?;Cardiac auscultation can reveal an accentuated B2 sound at the aortic area in cases of pulmonary arterial hypertension.;Cardiac auscultation can reveal a murmur of mitral regurgitation related to the dilation of the mitral annulus.;Jugular venous distension is a peripheral sign of left-sided heart failure.;'Peripheral edema is soft, blue, and painful.';The crackles or subcrepitant rales are often bilateral.;1
'What is/are the correct response(s) regarding the management of diffuse bronchiectasis in adults (excluding a context of cystic fibrosis) responsible for recurrent infectious episodes?';'Daily bronchial drainage';'Systemic corticosteroid therapy';Pulmonary lobectomy;'Systematic quarterly antibiotic therapy treatment';'Anti-inflammatory treatment with fluoroquinolone';2
"'A 58-year-old patient comes to the emergency department of your hospital due to coughing up two glasses of bright red blood during a coughing fit. She had never coughed up blood before. She is on aspirin for its antiplatelet effect due to coronary artery disease. Her clinical examination is normal; her blood pressure is 132/79 mmHg. Her heart rate is 80/min. The chest X-ray does not show any abnormalities. Provide the correct answer(s).'";'You are hospitalizing the patient.';'You initiate vascular fluid resuscitation.';"""You prescribe an intravenous vasoconstrictor agent, such as terlipressin.""";Prescribe an injected chest computed tomography with acquisition during the arterial phase after verifying the absence of contraindications.;Reassure the patient and explain to her that it is normal to bleed while on antiplatelet drugs.;3
A 55-year-old patient with a hyperlymphocytosis of 25 g/l without cytopenia is referred to you with a diagnosis of chronic lymphocytic leukemia based on lymphocyte immunophenotyping. On clinical examination, the patient is in excellent general condition and there is a polyadenopathy of 1.5 to 2 cm in diameter in all lymph node areas. What examination is necessary at this stage? (only one answer);"""None""";A PET scanner;An echocardiogram.;'A myelogram';'A bone scintigraphy';4
'A 25-year-old man consults you due to abdominal pain. The examination is normal except for a palpable spleen at the end of inspiration. The blood count shows: leukocytes 14 g/l, neutrophils 8 g/l, myelocytes 1 g/l, metamyelocytes 1 g/l, monocytes 1 g/l, lymphocytes 3 g/l, platelets 510 g/l. You suspect chronic myeloid leukemia. What biological tests do you prescribe to confirm your diagnostic hypothesis? (one or more possible answers)';Leukocyte immunophenotyping on blood;"""Search for Jolly bodies in the smear""";'Investigation of the bcr-abl transcript';'Search for Gumprecht shadows';"""Search for a JAK2 mutation""";5
'Among the following statements regarding fragility-related osteopathies, which one(s) is (are) correct?';'Primary hyperparathyroidism preferentially affects the cortical bone.';'Treatment of hypothyroidism increases the risk of osteoporotic fracture';"""Corticosteroid-induced osteoporosis primarily affects the cortical bone.""";'Estrogen deficiency is responsible for increased osteoclastic activity.';The treatment with bisphosphonates increases the activity of osteoblasts.;6
A 50-year-old woman arrives at the emergency department with malaise. She has no significant medical history but describes fatigue that appeared rapidly. The clinical examination is normal except for conjunctival subicterus. The blood count shows hemoglobin at 90 g/l, red blood cells at 2.7 t/l, hematocrit at 27%, mean corpuscular volume (MCV) at 102 fl, mean corpuscular hemoglobin concentration (MCHC) at 33 g/dl, leukocytes at 8 g/l, neutrophils at 5 g/l, lymphocytes at 2.3 g/l, and monocytes at 0.7 g/l. Which biological tests would be relevant to order as a first step? (one or more possible answers);C-reactive protein (CRP);"""Serum iron""";'Electrophoresis of serum proteins';Reticulocytes;"""LDH"" in English stands for ""Lactate Dehydrogenase.""";7
'Which of the following infectious agents is/are responsible for culture-negative endocarditis?';"""Mycobacterium tuberculosis""";"""Bartonella""";"""Streptococcus pyogenes""";"""Coxiella burnetii""";Il termine 'Tropheryma whipplei' è il nome scientifico di un batterio e, come tale, non necessita di traduzione in inglese. Mantiene lo stesso nome in entrambe le lingue.;8
"""Among the following infectious diseases, which one(s) is(are) notifiable in France?""";"""Rubella""";"""Plague""";"""Tuberculosis""";'Legionellosis';'Invasive pneumococcal disease';9
In a patient treated for 2 days with unfractionated heparin for a proximal pulmonary embolism, the aPTT ratio is 6 and the anti-Xa activity is measured at peak activity at 1.2 IU/ml, in the absence of bleeding, what measure(s) do you take immediately? (one or more possible answers);"""Vitamin K intake""";'Platelet concentrate transfusion';'Protamine infusion';"""Discontinuation followed by dosage adjustment""";Introduction of VKAs (Vitamin K Antagonists);10
A 62-year-old man with no medical history presents with a spontaneous deep hematoma of the psoas muscle. The complete blood count shows hemoglobin at 90 g/L and platelets at 170 g/L. His coagulation profile is as follows: aPTT ratio at 2.1, PT at 78%, and fibrinogen at 3.1 g/L. Mixing the patient's plasma with normal plasma does not correct the aPTT (Rosner index at 28 for a normal < 15). The assay of intrinsic pathway factors reveals factor VIII at 4%. What diagnostic hypothesis/hypotheses do you consider? (One or more possible answers);The presence of a lupus anticoagulant;'A congenital hemophilia';The presence of an anti-factor VIII antibody.;'Type 1 von Willebrand disease';"""Acquired hemophilia B""";11
A patient is brought in unconscious by firefighters to the emergency department following a road traffic accident. She has sustained polytrauma, for which an emergency brain and thoraco-abdomino-pelvic CT scan are performed. She has a splenic fracture that requires surgical intervention. Upon her arrival, her husband informs you that she is approximately 8 weeks pregnant. The radiation dose received is 10 mGy. What are the risks associated with the accident and the management?;"""Developmental delay""";"""Cerebral malformation""";"""Abortion""";'Growth retardation';'Retroplacental hematoma';12
