question,answer_A,answer_B,answer_C,answer_D,answer_E,id
"In the presence of a febrile roseoliform exanthem in a child, the main etiologies are (one or more correct answers):",A sudden rash,An epidemic megaloerythema,A rubella,Infectious mononucleosis,Kawasaki syndrome,0
"Regarding heart failure, which proposition(s) is (are) true?",Cardiac auscultation can reveal an accentuated B2 at the aortic area in cases of pulmonary arterial hypertension.,Cardiac auscultation may reveal a murmur of mitral insufficiency related to the dilation of the mitral annulus.,Jugular venous distention is a peripheral sign of left-sided heart failure.,"Peripheral edema is soft, blue, and painful.",Crackling or sub-crackling rales are often bilateral,1
What is (are) the true answer(s) concerning the management of diffuse bronchiectasis in adults (outside the context of cystic fibrosis) responsible for recurrent infectious episodes?,Daily bronchial drainage,Systemic corticosteroid therapy,Pulmonary lobectomy,Systematic quarterly antibiotic therapy treatment,Anti-inflammatory treatment with fluoroquinolone,2
A 58-year-old female patient comes to the emergency department of your hospital for the expectoration of two glasses of red blood during a coughing effort. She had never coughed up blood before. She is on aspirin for anti-aggregant therapy for coronary artery disease. Her clinical examination is normal; her blood pressure is 132/79 mmHg. The heart rate is 80/min. The chest X-ray shows no abnormalities. Give the correct answer(s).,You are admitting the patient to the hospital,You initiate vascular filling,You prescribe an intravenous vasoconstrictor agent such as terlipressin,You prescribe a contrast-enhanced thoracic computed tomography with acquisition during the arterial phase after verification of the absence of contraindications.,You reassure the patient and explain to her that it is normal to bleed while on antiplatelet agents.,3
"A 55-year-old patient presenting with lymphocytosis at 25 g/l without cytopenia is referred to you with a diagnosis of chronic lymphocytic leukemia based on lymphocyte immunophenotyping. On clinical examination, the patient is in excellent general condition and there is polyadenopathy with diameters of 1.5 to 2 cm in all nodal areas. What examination is necessary at this stage? (only one answer)",None,PET scan,An echocardiography,A myelogram,A bone scintigraphy,4
"A 25-year-old man consults you due to abdominal pain. The examination is normal except for a palpable spleen at the end of inspiration. The blood count shows: leukocytes 14 g/l, neutrophils 8 g/l, myelocytes 1 g/l, metamyelocytes 1 g/l, monocytes 1 g/l, lymphocytes 3 g/l, platelets 510 g/l. You suspect chronic myeloid leukemia. Which biological tests do you prescribe to confirm your diagnostic hypothesis? (one or more possible answers)",Leukocyte immunophenotyping on blood,Search for Jolly bodies in the smear,Search for the bcr-abl transcript,Gumprecht shadow cells examination,Search for a JAK2 mutation,5
Which of the following statements regarding fragility osteopathies is (are) correct?,Primary hyperparathyroidism preferentially affects cortical bone,The treatment of hypothyroidism increases the risk of osteoporotic fracture,Corticosteroid-induced osteoporosis primarily affects the cortical bone,Estrogen deficiency is responsible for osteoclastic hyperactivity,Biphosphonate treatment increases osteoblast activity,6
"A 50-year-old woman arrives at the emergency room for malaise. She has no particular medical history but describes rapidly onset fatigue. The clinical examination is normal except for conjunctival subicterus. The blood count shows hemoglobin 90 g/l, erythrocytes 2.7 t/l, hematocrit 27%, MCV 102 fl, MCHC 33 g/dl, leukocytes 8 g/l, neutrophils 5 g/l, lymphocytes 2.3 g/l, monocytes 0.7 g/l. What biological tests seem relevant to prescribe as a first intention? (One or more possible answers)",C-reactive protein (CRP),Serum iron,Serum protein electrophoresis,Reticulocytes,LDH,7
"Among the following infectious agents, which one(s) is(are) responsible for culture-negative endocarditis?",Mycobacterium tuberculosis,Bartonella,Streptococcus pyogenes,Coxiella burnetii,Tropheryma whipplei,8
"Among the following infectious diseases, which one(s) is(are) notifiable in France?",Rubella,Plague,Tuberculosis,Legionellosis,Invasive pneumococcal disease,9
"In a patient treated for 2 days for proximal pulmonary embolism with unfractionated heparin, the aPTT ratio is 6 and the anti-Xa activity is measured at the peak activity at 1.2 IU/ml, in the absence of bleeding, what measure(s) do you take immediately? (one or more possible answers)",Vitamin K intake,Platelet concentrate transfusion,Protamine infusion,Dose adjustment and cessation,Introduction of VKAs,10
"A 62-year-old man with no medical history presents with a spontaneous deep hematoma of the psoas muscle. The hemogram shows hemoglobin at 90 g/l and platelets at 170 g/l. His hemostasis assessment is as follows: aPTT ratio at 2.1, PT at 78%, and fibrinogen at 3.1 g/l. Mixing the patient's plasma with normal plasma does not correct the aPTT (Rosner index at 28 for a normal < 15). Testing of intrinsic pathway factors reveals factor VIII at 4%. What diagnostic hypothesis(es) do you consider? (one or more possible answers)",Presence of a lupus anticoagulant,A congenital hemophilia,The presence of an anti-factor VIII antibody,Type 1 von Willebrand disease,An acquired hemophilia B,11
"A patient is brought unconscious by firefighters to the emergency room following a road traffic accident. She has multiple trauma for which an emergency brain and thoraco-abdomino-pelvic CT scan is performed. She presents with a splenic fracture requiring surgical intervention. Upon arrival, her husband informs you that she is approximately 8 weeks pregnant. The radiation dose received is 10 mGy. What are the risks associated with the accident and the medical management?",Developmental delay,Cerebral malformation,Abortion,Growth retardation,Retroplacental hematoma,12
"A patient presents to your office for a preconception consultation. She is 32 years old, nulligravida. She has been monitored for a year for well-controlled arterial hypertension under perindopril, one tablet per day. She is using estrogen-progestin contraception which she plans to stop at the end of her pack. She weighs 81 kg and is 1.68 meters tall. She smokes 5 cigarettes per day but would like to quit. What do you plan at the end of the consultation? (one or more correct answers)",Rubella serology,Assistance with smoking cessation using nicotine substitutes,Cervical smear test if the latter is over one year old,Prescription of folates at a dose of 5 mg/day,Discontinuation of treatment with perindopril and switch to another antihypertensive,13
"A 28-year-old woman consults for the palpation of a mass in the upper outer quadrant of the right breast. She is worried because her mother and maternal aunt had breast cancer at 55 and 60 years old, respectively. On clinical examination, you palpate a round and regular 15 mm mass, not adherent to the deep and superficial planes. There is no inflammation or skin retraction observed. No suspicious lymphadenopathy is palpated in the axillary and supraclavicular lymph node areas. What examination(s) should be requested initially?",Breast ultrasound,A chest X-ray,A CA 15-3 assay,A breast MRI,A mammogram,14
"A 38-year-old woman consults 3 months after her third delivery for a request for contraception. She had a cesarean section, whereas her first two deliveries were vaginal. She has just stopped breastfeeding her child because she needs to resume her professional activity. In her medical history, she reports a uterine perforation during the insertion of an intrauterine device 7 years ago, a phlebitis under cast 10 years ago, and a cervical laser treatment 4 years ago for cervical dysplasia related to human papillomavirus infection. She does not smoke but ""vapes"" occasionally. The last cervical cytology, performed at the beginning of pregnancy, was normal. What contraceptive method(s) is(are) possible for this woman?",Levonorgestrel intrauterine device,Copper intrauterine device,Transdermal device releasing norelgestromin and ethinylestradiol,Tubal sterilization by laparoscopy,Subcutaneous device releasing etonogestrel,15
"In the case of suspected intraocular metallic foreign body, which examination(s) do you propose as an emergency?",Orbital CT scan,An MRI,An X-ray of the orbit,Fluorescein angiography,A measurement of intraocular pressure,16
What is the correct statement(s) regarding voluntary termination of pregnancy (abortion) in France?,A woman under guardianship can request an abortion,A woman can request complete anonymity for the performance of an abortion.,The insertion of an intrauterine device is contraindicated in the immediate aftermath of a surgical abortion,Prostaglandins cannot be used in cases of hereditary porphyria,A psychosocial interview must systematically be conducted before performing the abortion,17
A chalazion,Is an infection of an eyelid pilosebaceous follicle,Is a resorption granuloma of a meibomian gland of the eyelids,Treat with corticosteroid ointment,Treated with systemic antibiotics,May require a surgical incision,18
What are the possible etiologies of decreased visual acuity associated with eye redness (several correct answers)?,Acute angle-closure glaucoma attack,Anterior uveitis,Central retinal artery occlusion,Neovascular glaucoma,Retinal vasculitis,19
In cases of myopia (one or more correct answers):,The optical system formed by the eye is too convergent,Distance vision is better than near vision without correction,The light rays focus in front of the retina,A divergent lens can be used for correction,The risk of retinal detachment may be increased,20
"You are managing an 83-year-old patient, well supported, on day 2 of knee arthroplasty. The Redon drains were removed without issue. She presents with a swollen knee, very edematous and inflammatory. The scar is fine, non-inflammatory. What is (are) the correct proposal(s)?",Outpatient care is possible,The electrotherapy techniques practiced by the physiotherapist will aim to reduce the edema.,The prescription for a walking cane could be made by the private physiotherapist after hospital discharge.,Your physical therapy prescription must obligatorily mention the physical therapy techniques to be employed,The adaptation of the home must be carried out after preparing a file with the MDPH (Departmental House for Disabled Persons),21
"You are taking care of a 32-year-old patient, a computer scientist, with a smoking history of 15 pack-years, no medical or surgical history, who was the victim of a road accident resulting in a severe spinal cord injury due to a C5 cervical fracture osteosynthesized via the anterior approach on April 30, 2018. The weaning from mechanical ventilation was difficult, so he underwent a tracheostomy on May 21, 2018, after orotracheal intubation. The weaning was then achieved on May 29. Upon arrival, he is eupneic. He presents a stage 4 pressure sore on the right trochanter, with substance loss down to the bone. The base of the pressure sore is fibrous, and purulent secretions are very abundant without any inflammatory skin signs. What is the correct proposal(s)?",Tracheal stenosis is a complication of prolonged orotracheal intubation.,You prioritize for the treatment of this bedsore a combination of local antiseptics and dry dressings.,The presence of this pressure sore contraindicates sitting in a chair,"The lesion being at the medullary level C6, you would expect anesthesia from the lateral edge of the forearm in anatomical position.",The request for long-term illness can be made by the attending physician,22
