id,question,answer_A,answer_B,answer_C,answer_D,answer_E
0,"Devant un exanthème roséoliforme fébrile de l'enfant, les principales étiologies sont (une ou plusieurs réponsesexactes):",Un exanthème subit,Un mégalérythème épidémique,Une rubéole,Une mononucléose infectieuse,Un syndrome de kawasaki
1,"A propos de l’insuffisance cardiaque, quelle(s) est (sont) la (les) proposition(s) vraie(s) ?",L’auscultation cardiaque peut mettre en évidence un éclat du b2 au foyer aortique en cas d’hypertension artériellepulmonaire,L’auscultation cardiaque peut mettre en évidence un souffle d’insuffisance mitrale liée à la dilatation de l’anneau mitral,La turgescence jugulaire constitue un signe périphérique d’insuffisance cardiaque gauche,"Les œdèmes périphériques sont mous, bleus et douloureux",Les râles crépitants ou sous-crépitants sont souvent bilatéraux
2,Quelle(s) est (sont) la (les) réponse(s) vraie(s) concernant la prise en charge des bronchectasies diffuses chez l’adulte (endehors d’un contexte de mucoviscidose) responsables d’épisodes infectieux à répétition ?,Drainage bronchique quotidien,Corticothérapie systémique,Lobectomie pulmonaire,Cure d’antibiothérapie trimestrielle systématique,Traitement anti-inflammatoire par fluoroquinolone
3,Une patiente de 58 ans  vient aux urgences de votre hôpital pour l’expectoration de deux verres de sang rouge lors d’uneffort de toux. elle n’avait jamais craché de sang. elle est sous aspirine à visée anti-agrégante pour une coronaropathie.son examen clinique est normal ; sa pression artérielle est à 132 /79 mmhg. la fréquence cardiaque est à 80/mn. laradiographie pulmonaire ne montre pas d’anomalie.donnez la ou les réponse(s) juste(s),Vous hospitalisez la patiente,Vous mettez en place un remplissage vasculaire,Vous prescrivez un agent vasoconstricteur par voie intraveineuse type telipressine,Vous prescrivez une tomodensitométrie thoracique injectée avec acquisition au temps artériel après vérificationd'absence de contre-indication,Vous rassurez la patiente et lui expliquez qu’il est normal de saigner sous anti-agrégants
4,"Un patient de 55 ans présentant un hyperlymphocytose à 25 g/l sans cytopénie vous est adressé avec un diagnostic deleucémie lymphoide chronique sur l'immunophénotypage lymphocytaire. a l’examen clinique, le patient est en excellent étatgénéral et il existe une polyadénopathie de 1,5 à 2 cm de diamètre dans toutes les aires ganglionnaires. quel examen estnécessaire à ce stade ? (une seule réponse)",Aucun,Un tep-scanner,Une échocardiographie,Un myélogramme,Une scintigraphie osseuse
5,"Un homme de 25 ans vous consulte en raison de douleurs abdominales. l'examen est normal en dehors d’une ratepalpable en fin d’inspiration. l’hémogramme montre : leucocytes 14 g/l, pnn 8 g/l, myélocytes 1 g/l, métamyélocytes 1g/l, monocytes 1 g/l, lymphocytes 3 g/l, plaquettes 510 g/l. vous suspectez une leucémie myéloïde chronique. quelsexamens biologiques prescrivez-vous pour confirmer votre hypothèse diagnostique ? (une ou plusieurs réponses possibles)",Immunophénotypage leucocytaire sur sang,Recherche de corps de jolly au frottis,Recherche du transcrit bcr-abl,Recherche d’ombres de gumprecht,Recherche d'une mutation de jak2
6,"Parmi les affirmations suivantes concernant les ostéopathies fragilisantes, laquelle (lesquelles) est (sont) exacte(s) ?",L’hyperparathyroïdie primitive touche préférentiellement l’os cortical,Le traitement de l’hypothyroïdie augmente le risque de fracture ostéoporotique,L’ostéoporose cortisonique touche principalement l’os cortical,La carence estrogénique est responsable d’une hyperactivité ostéoclastique,Le traitement par biphosphonate augmente l’activité des ostéoblastes
7,"Une femme de 50 ans arrive aux urgences pour malaise. elle n’a pas d’antécédent particulier mais décrit une fatiguerapidement apparue. l’examen clinique est normal en dehors d’un subictère conjonctival. l’hémogramme montrehémoglobine 90 g/l, hématies 2,7 t/l, hématocrite 27 %, vgm 102 fl, ccmh 33 g/dl, leucocytes 8 g/l, polynucléairesneutrophiles 5 g/l, lymphocytes 2,3 g/l, monocytes 0,7 g/l.quels examens biologiques vous semblent pertinents à prescrire en première intention ?(une ou plusieurs réponsespossibles)",Protéine c réactive (crp),Fer sérique,Electrophorèse des protides sériques,Réticulocytes,Ldh
8,"Parmi les agents infectieux suivants, le(s)quel(s) est(sont) responsable(s) d’endocardite à hémocultures négatives ?",Mycobacterium tuberculosis,Bartonella,Streptococcus pyogenes,Coxiella burnetii,Tropheryma whipplei
9,"Parmi les maladies infectieuses suivantes, la(es)quelle(s) est(sont) à déclaration obligatoire en france ?",Rubéole,Peste,Tuberculose,Légionellose,Pneumococcie invasive
